branch	sha
fix/phase7c-trend-single-writer-entry	f859c5b0efc963fd4a2ccadfd9bf9710a9480e6c
fix/phase7c-ui-auto-current-mode-provenance	d7a3b08621b856121be37b20608a49f2b3c14a28
fix/phase7c-ui-current-wait-reason-freshness	6d8cc7fab91ef55fef26734cd607552d1489c3b3
fix/phase7c-ui-entry-wait-reason-freshness	cfea9fa818867ce24504d7b558b72d63ea312231
fix/phase7c-verifier-broker-heartbeat	f0263a0ad0f3a0a2e5ac99e11e02051a2a6f7d94
fix/phase7c-verifier-strictmode-count	bea6e332b47972eab29a96b4bb71655e3d886c61
fix/phase7c-wait-reason-cleanup	713a48728023aa16d5d4cc088f531f82555826e0
fix/phase7c-web-account-aware-safe-deploy	43a5eab5423d498a1189021721a5c8b739b6ddb8
fix/phase7c-web-account-aware-semantic-reasons	5b397d637bc57ef8adc80a74a5cd8afdde797cdf
fix/phase7c-web-api-canonical-account-env-bootstrap	e7684a31457b2d7caa15991d7f001033d6c4ba9d
fix/phase7c-web-api-supervision	41a53e9276f075d027bb96ff2b65f2a6b8b4f27b
fix/phase7c-web-client-render-performance	e6427916a540a25495b993b830974c5b23bff4b8
fix/phase7c-web-client-render-performance-2	08e61a8773d01560d0c57ae6e83a7d8db122ddf0
fix/phase7c-web-deploy-exact-sha	1ec53ad0f1a1018ad8710415728a9bec06e108f7
fix/phase7c-web-deploy-stale-broker-guard	abc5d228ef2f4ba30f9fc849127e04e9e1e29455
fix/phase7c-web-deploy-telegram-recovery-wait	f66b782610ab43d17cd16a8dc447a851ab1cb14a
fix/phase7c-web-live-start-guard	2391157eba7e050b787be720f25da33ee8f804aa
fix/phase7c-web-mt5-display-sync	49a6e1f6f605bbc1ff6a262a303163ff320ada33
fix/phase7c-web-mutation-single-transport	7221b75ccc2154f8ad78ac4164ad3465e84337ac
fix/phase7c-web-only-auto-control	f6abffc6bfbbe01340fe08bed8fa3ef8b4ff0215
fix/phase7c-web-price-localization-idempotency	6f385071a02a16e061845634972587a3d86e2db8
fix/phase7c-web-runtime-performance	6f5abf7a2da2824f334ece4220210c90b4503139
fix/phase7c-web-start-broker-account-context	e17deb80d4b3b8371e8ceb710c706753dd39986e
fix/phase7c-web-ui-broker-build	0fb59589c53eb31412f77446be319d5de4dca2d6
fix/phase7c-web-unmanaged-multi-position-status	117bf8b07f7b55ce97c1bc6c24f9134e18981cf2
fix/phase7c-web-vietnamese-typography	526324a9b7f5100ee53ae7fee10451c21d28654c
fix/phase7c-web-vi-localization-regression	1e655ffe0226798002e3bcb39cae1806a1b6a3d6
fix/trend-entry-regime-attribution	f57d6279772fb24cd08bf586860ccf1d811be0a7
fix/trend-intrabar-next-m15-pullback	d8b638111a3d2d1bfb7a5b91f4c1655d45d68f92
integration-to-main-20260825	67c98fb9280be0d12baaa8b80d05ec72c26e0535
main	34b81606ae6071251c2d3889beb7b052b4c5523d
noop-temp-invalid	543074dfed1876f5753fbd06ee38a5655d6281c6
phase3-current-snapshot	be67fa93ce3fdd49542cfb07b8bcde28ff4837b6
phase4-risk-entry-compression	267f7b883dff7dd8fae83c2c00b57f24070d8f07
phase7b-wait-pullback-runtime	91aa55acb9ad3a0bce05100af91a1871a145a398
phase7c-sideway-supply-demand	c8b894bd249a9f3c92b1026ff3c7ed29f8f64051
release/phase7c-demo-baseline-20260823	f7f37a1b5e4905c555f61e31d16b8a0d19244600
sprint-01-package01	65549d32383b34e64aae2fdb6b47bf1f18ca443a
sprint-01-task03-sidebar	6c52e3f92c94fb05db7629e6ff9abeee19cc601c
test/phase7c-hold-canonical-observability	fa47f8e72e2e37c9dd4a589b7942f79e5e96df25
test/phase7c-hold-canonical-red	eea0bc060fc3b2deca1689035605070597528c8d
test/phase7c-trend-diagnostics-runtime-contract	b1e4e91f401ea886a5a002a38cc5e824831132b6
tmp-do-not-use	042ab9365e17174d20032328206f3a9518fdbc1f
